actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.1303816,1.0513767,23.25,0.008215888,-0.014740776,0.6924391,0.03225806451612903,80.0,41.88031,-17.807919,3.009336,0.0036625338,-2.7088618,5000,0.7135413,1000,1000.0,1000,5,0.0,-453.25403,-536.76575,-588.82697,5,48.930645,2.9157875,0.00029195298,-3.1593926,20000,0.7006502,1000,1000.0,1000,20,0.0,-383.79481831670273,-575.0215917305031,-731.1672956123948,20,91.61840148560032,20.0,65.7957534790039,20000.0,1.0,65.7957534790039,20000.0,303.97098509377514,20000.0
0.08157349,1.0495404,4.8,0.0072297845,-0.0054962845,0.6911915,0.20833333333333334,80.0,12.235276,-35.58627,2.925745,-0.02249392,-2.9729822,5000,0.788535,1000,1000.0,1000,5,0.0,-93.669136,-299.9136,-474.1989,5,121.638115,3.6192212,-0.017131768,-3.1526275,20000,0.75053215,1000,1000.0,1000,20,0.0,-218.30076581824687,-418.4987460891938,-639.9315635673702,20,109.12408613636794,40.0,60.6698637008667,20000.0,2.0,126.51331114768982,40000.0,329.652957498144,40000.0
0.12516418,1.0288906,80.0,0.0076743322,-0.015665516,0.677135,0.0,80.0,10.906597,-26.704872,3.2321799,-0.0062781395,-3.3074083,5000,0.8146487,1000,1000.0,1000,5,0.0,25.511366,-85.49834,-252.01768,5,91.59781,3.1115413,-0.010522653,-3.1305296,20000,0.79880166,1000,1000.0,1000,20,0.0,130.67506768892054,-190.09599970768576,-659.7666107933037,20,185.01365859078288,60.0,62.027201414108276,20000.0,3.0,188.58807849884033,60000.0,322.4391806181173,60000.0
0.12699167,1.008669,49.4,0.009466152,-0.015971104,0.66381425,0.008097165991902834,80.0,15.718777,-20.239513,3.069022,-0.01519609,-2.770382,5000,0.8016871,1000,1000.0,1000,5,0.0,122.6762,-175.65266,-848.9571,5,348.51053,3.498225,0.0015718939,-3.4463122,20000,0.8074204,1000,1000.0,1000,20,0.0,93.33456243247838,-224.04402715419715,-670.5849345391616,20,229.04363576148026,80.0,62.571171283721924,20000.0,4.0,251.2063114643097,80000.0,319.63601750896197,80000.0
0.1399543,0.99360627,53.0,0.010014764,-0.01904898,0.65389436,0.007547169811320755,80.0,16.853226,-15.870157,3.2006922,-0.0015113767,-2.9833217,5000,0.8166933,1000,1000.0,1000,5,0.0,142.3997,-40.648453,-175.39714,5,102.74918,3.421552,-0.008925237,-3.3358006,20000,0.8054653,1000,1000.0,1000,20,0.0,126.02143341174815,-115.33826846642862,-654.0033676838502,20,211.89002406534243,100.0,81.38282203674316,20000.0,5.0,332.64624404907227,100000.0,245.75210713349668,100000.0
0.13264757,0.9684112,37.6,0.011268812,-0.016655006,0.63784,0.02127659574468085,80.0,19.20641,-1.137084,2.9453876,-0.041038353,-3.1475272,5000,0.8304659,1000,1000.0,1000,5,0.0,299.7679,-23.6654,-754.07605,5,383.4454,3.306673,-0.008215785,-3.108446,20000,0.8269352,1000,1000.0,1000,20,0.0,246.30601303232834,-17.94689356412473,-562.6597081131767,20,202.33507891645354,120.0,64.52819800376892,20000.0,6.0,397.2350878715515,120000.0,309.9420194382594,120000.0
0.14341326,0.93036723,65.6,0.011449162,-0.020077802,0.61389357,0.003048780487804878,80.0,18.615107,-4.6488466,3.326041,-0.011091715,-3.2478907,5000,0.8567689,1000,1000.0,1000,5,0.0,265.3472,161.75269,42.10089,5,73.73011,3.1404061,-0.016560173,-3.5284529,20000,0.8330696,1000,1000.0,1000,20,0.0,362.427152923774,-90.45672085418354,-652.4497182033956,20,332.1101895909006,140.0,65.53815484046936,20000.0,7.0,462.813428401947,140000.0,305.16574732204907,140000.0
0.13676047,0.9054497,55.0,0.010332399,-0.019888418,0.59870905,0.01090909090909091,80.0,18.076927,7.0590277,3.2446523,-0.007951224,-2.954184,5000,0.8650871,1000,1000.0,1000,5,0.0,188.22931,50.556957,-204.70862,5,141.2336,3.464252,-0.021831123,-3.1173925,20000,0.8533437,1000,1000.0,1000,20,0.0,326.32559593261976,10.001695609341732,-686.5869870018214,20,280.47991473925964,160.0,60.82911443710327,20000.0,8.0,523.691605091095,160000.0,328.78992543414074,160000.0
0.13240348,0.8913143,38.5,0.011120523,-0.018253217,0.59020275,0.025974025974025976,80.0,16.524021,19.49274,3.142047,-0.02525416,-2.9468074,5000,0.8752254,1000,1000.0,1000,5,0.0,318.90262,47.60885,-708.9356,5,384.26456,3.2869728,-0.015225554,-3.1088068,20000,0.86685324,1000,1000.0,1000,20,0.0,362.07099653498153,144.8756171922646,-568.142915471457,20,223.04953098571147,180.0,58.341371297836304,20000.0,9.0,582.0829725265503,180000.0,342.80990581964153,180000.0
0.14007768,0.8703572,48.8,0.008785515,-0.021688133,0.5779627,0.012295081967213115,80.0,15.862284,20.463264,3.2334595,-0.034951188,-2.9837427,5000,0.85698104,1000,1000.0,1000,5,0.0,341.312,-21.164892,-768.2801,5,399.42188,3.0988455,-0.010951327,-3.4389398,20000,0.87681013,1000,1000.0,1000,20,0.0,389.0909342665109,110.08117714875497,-722.8753273785114,20,288.83921897568075,200.0,65.13167929649353,20000.0,10.0,647.253785610199,200000.0,307.07023396334773,200000.0
