actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.038132478,-0.88364685,80.0,0.0041869436,-0.003145812,0.10000001,0.0,80.0,0.0026170057,0.12133853,1.3453549,0.3899737,-1.2122777,5000,0.5462942,1000,1000.0,1000,5,0.0,13.283148,3.9234443,0.37480173,5,4.9563327,1.4739859,0.22508174,-1.3800349,20000,0.5509002,1000,1000.0,1000,20,0.0,25.831380194053054,2.783096670008672,0.1527429804118583,20,5.510515612888348,20.0,31.802376985549927,20000.0,1.0,31.802376985549927,20000.0,628.8838098198577,20000.0
0.028936157,-0.88364685,80.0,0.0022713982,-0.0024859845,0.10000002,0.0,80.0,0.16261464,0.7273143,1.3425653,0.3255528,-1.2871343,5000,0.59269613,1000,1000.0,1000,5,0.0,34.609882,8.659171,0.47365442,5,13.206536,1.398988,0.33765367,-1.4277028,20000,0.5392564,1000,1000.0,1000,20,0.0,22.742754883132875,3.066567681255401,0.14091990390443243,20,5.14080500717036,40.0,32.176024198532104,20000.0,2.0,64.00452423095703,40000.0,621.5808353635069,40000.0
0.034869384,-0.88364685,80.0,0.0039964053,-0.002934761,0.10000002,0.0,80.0,0.12663828,0.688116,1.3485231,0.3189233,-1.2466617,5000,0.54826236,1000,1000.0,1000,5,0.0,18.132717,4.5743175,0.20035443,5,6.863979,1.3499008,0.21952994,-1.3063242,20000,0.5496882,1000,1000.0,1000,20,0.0,44.148505894467235,4.263906681093067,0.1949228296871297,20,9.526425769266572,60.0,30.742084741592407,20000.0,3.0,94.77195429801941,60000.0,650.5739662131978,60000.0
0.028282471,-0.88364685,80.0,0.0029361928,-0.0028790957,0.10000002,0.0,80.0,0.012826561,0.4944383,1.3504987,0.3876834,-1.2380173,5000,0.55664307,1000,1000.0,1000,5,0.0,7.9573016,2.090372,0.17168166,5,2.9587166,1.378864,0.3013769,-1.2699695,20000,0.5630014,1000,1000.0,1000,20,0.0,11.65591777197551,2.201773031808261,0.2775195970607456,20,2.863285105480282,80.0,30.800211191177368,20000.0,4.0,125.59985589981079,80000.0,649.3461968770182,80000.0
0.031064453,-0.88364685,80.0,0.0035022,-0.0020531146,0.10000002,0.0,80.0,0.0448199,0.42245308,1.3676438,0.52358663,-1.1700206,5000,0.5705899,1000,1000.0,1000,5,0.0,16.704727,4.1062136,0.17724048,5,6.3827624,1.3740587,0.23732707,-1.3059027,20000,0.5791239,1000,1000.0,1000,20,0.0,26.133258773363195,4.40007805324858,0.2140190633799648,20,7.713252997339501,100.0,32.732072830200195,20000.0,5.0,158.35754442214966,100000.0,611.0214927038483,100000.0
0.040654298,-0.88364685,80.0,0.0051783826,-0.0025439675,0.10000002,0.0,80.0,0.11838484,0.6441806,1.3401557,0.108588226,-1.2719091,5000,0.57909805,1000,1000.0,1000,5,0.0,26.102638,7.744355,0.457706,5,9.477265,1.3780614,0.31437108,-1.3060173,20000,0.57265705,1000,1000.0,1000,20,0.0,41.42671713954769,5.642887335310661,0.15676910788170062,20,11.112168967939155,120.0,30.07172918319702,20000.0,6.0,188.4563398361206,120000.0,665.0764868943841,120000.0
0.041466676,-0.88364685,80.0,0.0038338113,-0.0027172936,0.10000002,0.0,80.0,0.04031256,0.472055,1.2731596,0.16603704,-1.2412235,5000,0.55554104,1000,1000.0,1000,5,0.0,5.7286277,2.4736366,0.20455466,5,1.8288713,1.3643627,0.30105117,-1.3342679,20000,0.5723777,1000,1000.0,1000,20,0.0,29.288988850428723,3.3250338379897584,0.23893845149723347,20,6.351641060414845,140.0,30.56731367111206,20000.0,7.0,219.05019998550415,140000.0,654.2936751063341,140000.0
0.032252807,-0.88364685,80.0,0.0044503715,-0.0018737274,0.10000002,0.0,80.0,0.14869049,0.47833002,1.3405492,0.2613241,-1.2747252,5000,0.48431465,1000,1000.0,1000,5,0.0,2.8597715,0.90566814,0.20149152,5,1.0003346,1.3587003,0.24646233,-1.3368195,20000,0.54329354,1000,1000.0,1000,20,0.0,56.328858975088224,6.184970449977118,0.15621996857225895,20,14.581093785806098,160.0,30.013200283050537,20000.0,8.0,249.08759593963623,160000.0,666.3734560587553,160000.0
0.04791141,-0.8836469,64.25,0.0055397414,-0.0029321334,0.10000002,0.0038910505836575876,80.0,0.28031772,0.4389266,1.3598841,0.26559517,-1.2793353,5000,0.64036,1000,1000.0,1000,5,0.0,35.15057,11.662209,0.23639727,5,13.222202,1.3403312,0.22720253,-1.3019764,20000,0.5610051,1000,1000.0,1000,20,0.0,60.60943295317702,7.2501566612787425,0.26552119982079603,20,16.667822051003903,180.0,30.166927099227905,20000.0,9.0,279.28050351142883,180000.0,662.9777018459358,180000.0
0.053026125,-0.88364685,80.0,0.0051544295,-0.0033418778,0.10000002,0.0,80.0,0.07240691,0.37999856,1.351001,0.22854316,-1.2204295,5000,0.4936519,1000,1000.0,1000,5,0.0,2.8621187,1.0130737,0.21876134,5,0.9403813,1.3436654,0.29237258,-1.2641135,20000,0.5563879,1000,1000.0,1000,20,0.0,55.2452740870649,5.443123065767577,0.2543097019806737,20,12.194038426596336,200.0,30.153932332992554,20000.0,10.0,309.4645130634308,200000.0,663.2634105276295,200000.0
