actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.1315708,1.0539899,23.25,0.009339143,-0.01476185,0.694248,0.03225806451612903,80.0,2.3342247,5.0089827,2.894455,-0.01924435,-2.676437,5000,0.7174399,1000,1000.0,1000,5,0.0,215.25002,198.525,179.72719,5,11.70772,2.918263,-0.03433257,-3.160524,20000,0.7034539,1000,1000.0,1000,20,0.0,219.28069362584938,135.0449971665008,62.46251221951388,20,52.29183952591563,20.0,18.653544425964355,20000.0,1.0,18.653544425964355,20000.0,1072.1822911125394,20000.0
0.15927632,1.0477884,19.2,0.008748523,-0.016086943,0.6899983,0.041666666666666664,80.0,3.0556204,20.47336,3.01415,-0.011256548,-3.2235224,5000,0.8067528,1000,1000.0,1000,5,0.0,449.57773,437.78262,423.57465,5,11.650337,3.3652954,-0.016960042,-3.1680148,20000,0.77214205,1000,1000.0,1000,20,0.0,446.17724884534255,344.53404866141716,219.69042861973867,20,77.41611991527753,40.0,18.460204601287842,20000.0,2.0,37.16651463508606,40000.0,1083.4116106494691,40000.0
0.15446436,1.0365536,34.4,0.01029312,-0.019090012,0.6823033,0.01744186046511628,80.0,2.8673851,40.174427,3.2899122,0.01385968,-3.1666589,5000,0.849537,1000,1000.0,1000,5,0.0,603.97296,579.6108,544.7686,5,20.339878,3.1812742,-0.0031758826,-3.2651005,20000,0.8279731,1000,1000.0,1000,20,0.0,570.9791260715574,517.5707650721248,427.8918142132461,20,37.79083788516617,60.0,19.26762318611145,20000.0,3.0,56.47012996673584,60000.0,1038.0107503045037,60000.0
0.09831543,1.026961,4.0,0.008557511,-0.0050091012,0.6757628,0.25,80.0,2.7535214,55.506054,3.488211,-0.007948853,-3.4046116,5000,0.955579,1000,1000.0,1000,5,0.0,738.6092,734.14825,724.9276,5,4.9033647,3.7734263,-0.0064417743,-3.286345,20000,0.89466816,1000,1000.0,1000,20,0.0,741.3342879377306,655.8502242315571,559.7979491413571,20,49.73915438258791,80.0,18.819912433624268,20000.0,4.0,75.31857085227966,80000.0,1062.704200699008,80000.0
0.12401856,0.99262774,50.0,0.008845868,-0.018368652,0.6530858,0.008,80.0,1.9483709,69.82604,3.2355165,0.018152354,-3.2601702,5000,0.98534924,1000,1000.0,1000,5,0.0,828.09216,805.7729,793.146,5,11.91537,3.513157,-0.006469868,-3.384984,20000,0.9672854,1000,1000.0,1000,20,0.0,807.3618447631598,763.2901172405866,717.2039130777121,20,24.31879658026689,100.0,19.803462982177734,20000.0,5.0,95.16007685661316,100000.0,1009.9243762567759,100000.0
0.11718201,0.9314396,80.0,0.0091796545,-0.017704528,0.6145797,0.0,80.0,1.0024529,79.847145,3.1917322,-0.0021320821,-3.0657828,5000,1.0165629,1000,1000.0,1000,5,0.0,884.15216,870.63684,860.9472,5,7.821787,3.445144,0.003202517,-3.5847073,20000,1.0012603,1000,1000.0,1000,20,0.0,883.8691669255495,841.3043975543696,800.0237916894257,20,22.449003395097726,120.0,22.170255661010742,20000.0,6.0,117.36884641647339,120000.0,902.1095789694741,120000.0
0.1173056,0.86924505,43.0,0.0098106265,-0.01727412,0.57758635,0.013953488372093023,80.0,0.4644159,86.545334,3.1790397,0.00016631806,-3.3328078,5000,1.0022963,1000,1000.0,1000,5,0.0,907.9273,893.11993,883.1146,5,8.923568,3.4803808,-0.0018461607,-3.6177456,20000,1.0116827,1000,1000.0,1000,20,0.0,896.4312039911747,882.392117620504,848.8329301043414,20,11.61853083227948,140.0,21.011637449264526,20000.0,7.0,138.42599439620972,140000.0,951.8534692164158,140000.0
0.102968566,0.8066687,64.8,0.010715827,-0.015276161,0.5427496,0.0030864197530864196,80.0,0.27596337,90.43938,3.0533876,0.001109255,-3.1239917,5000,1.0066639,1000,1000.0,1000,5,0.0,926.5224,916.7972,904.17725,5,8.137191,3.2053769,-0.0024459644,-3.229075,20000,1.0111008,1000,1000.0,1000,20,0.0,922.3938233554363,907.4503669190832,894.0848591029644,20,8.738025458401601,160.0,20.92915391921997,20000.0,8.0,159.39598441123962,160000.0,955.6048026209652,160000.0
0.10176431,0.74706256,62.0,0.010223764,-0.016409246,0.5113936,0.008064516129032258,80.0,0.17547397,92.63115,3.1235263,-0.0003323274,-2.748043,5000,0.99502766,1000,1000.0,1000,5,0.0,938.5144,924.4806,916.88214,5,8.054042,3.3733966,-0.0054830345,-3.060564,20000,1.0000079,1000,1000.0,1000,20,0.0,937.3023072183132,924.5068381089252,906.4513449585065,20,7.646210987194779,180.0,19.017104864120483,20000.0,9.0,178.4421627521515,180000.0,1051.6847933953366,180000.0
0.099684864,0.68552774,71.8,0.009051241,-0.01453755,0.4811104,0.005571030640668524,80.0,0.12551777,94.34277,2.4994702,-0.005012763,-2.5506945,5000,0.9892397,1000,1000.0,1000,5,0.0,954.2124,948.1701,939.5585,5,5.3474236,2.9601889,0.0025043825,-2.9446945,20000,0.9948773,1000,1000.0,1000,20,0.0,952.4245681818575,940.6038401916973,923.6120771670248,20,7.156140782426171,200.0,21.28500533103943,20000.0,10.0,199.76532316207886,200000.0,939.6286112662826,200000.0
